iter	Logloss
0	0.6205754976
1	0.5612729182
2	0.513497581833	0.475711018944	0.444357011155	0.41960220976	0.398284505277	0.382510800388	0.368151002999	0.3568249938110	0.3476558392111	0.3388274352112	0.3317140726
113	0.3257217101414	0.3201676121515	0.31551636516	0.3112957047
17	0.3074775778
18	0.3044975935
19	0.3017471362
20	0.2992404088
21	0.2971055579
22	0.2950551797
23	0.2932382612424	0.2914659902525	0.29002816126	0.2892399786
27	0.2879871381
2828	0.28629462329	0.2857745109
30	0.2847860204
31	0.2839120125
32	0.2830850423
33	0.2823474935
334	0.2814849912335	0.2808627852336	0.2803154293737	0.2794194723838	0.2789278353939	0.2784722644040	0.2780538274141	0.2776824974242	0.277296348443	0.2769461999444	0.2766194506445	0.2763177045446	0.2760440447	47	0.2757909648	48	0.2755260649	49	0.2753005650	50	0.2750722751	51	0.2748695252552	0.2746774953553	0.2744760654	54	0.2742812255	55	0.2741290156556	0.273967165757	0.2737914725558	0.2736551535559	0.2735097696660	0.2733856686661	0.273271124662	0.2731519562663	0.2730417907664	0.2729436151665	0.2728502565666	0.2727589286667	0.2726818189668	0.272591576
69	0.2725121179
70	0.2724268896
71	0.2723524034
72	0.272265997
73	0.2721844657
74	0.2721307935
75	0.2720685841
76	0.2720069483
77	0.2719376201
78	0.2718790729
79	0.2718277297
80	0.2717813391
81	0.2717325575
82	0.2716826637
83	0.2716321925
84	0.2715834573
85	0.271538489
86	0.2715135479
87	0.2714751945
88	0.2714301719
89	0.2713966394
90	0.2713608941
91	0.2713267415
92	0.2712920038
93	0.2712566034
94	0.2712334837
95	0.2712023655
96	0.2711720998
97	0.2711329598
98	0.2711006518
99	0.2710804773
100	0.2710564624
101	0.2710276034
102	0.2709917108
103	0.2709655917
104	0.2709380658
105	0.2709117567
106	0.2708834325
107	0.27085953
108	0.2708390454
109	0.2708202079
110	0.2707953288
111	0.270776654
112	0.2707534916
113	0.2707347315
114	0.2707177347
115	0.2706792031
116	0.2706612568
117	0.2706437174
118	0.2706235003
119	0.270604031
120	0.2705808997
121	0.2705664993
122	0.270554269
123	0.270535629
124	0.2705197754
125	0.2705065298
126	0.2704870683
127	0.2704728926
128	0.2704448281
129	0.2704278506
130	0.2704127217
131	0.2704009719
132	0.2703892067
133	0.2703765578
134	0.2703632696
135	0.2703444359
136	0.2703291868
137	0.2703156157
138	0.2703065205
139	0.2702934997
140	0.270267365
141	0.270252267
142	0.2702353012
143	0.2702206101
144	0.2702077327
145	0.2701899375
146	0.2701742118
147	0.2701630588
148	0.2701522042
149	0.2701385789
150	0.2701272786
151	0.2701163969
152	0.2700876232
153	0.2700708395
154	0.2700601128
155	0.2700490994
156	0.270037679
157	0.2700173921
158	0.2700024647
159	0.2699878976
160	0.2699727531
161	0.2699603291
162	0.2699484437
163	0.2699330473
164	0.2699211465
165	0.269906157
166	0.2698965464
167	0.2698797782
168	0.26986947
169	0.2698550502
170	0.2698452226
171	0.2698223741
172	0.2698008355
173	0.2697917752
174	0.2697790217
175	0.26976609
176	0.2697551812
177	0.2697428192
178	0.2697412032
179	0.2697286629
180	0.2697188314
181	0.2697097827
182	0.2696974013
183	0.2696884029
184	0.2696742932
185	0.2696638765
186	0.26965246
187	0.2696322428
188	0.2696117389
189	0.2696027096
190	0.2695898593
191	0.269578218
192	0.2695672472
193	0.2695537071
194	0.2695413373
195	0.2695254449
196	0.2695135595
197	0.2695020345
198	0.2694912536
199	0.2694807943
00139586
